fips,PST045214,PST045213,PST040210,PST120214,PST120213,POP010210,AGE135213,AGE295213,AGE775213,SEX255213,RHI125213,RHI225213,RHI325213,RHI425213,RHI525213,RHI625213,RHI725213,RHI825213,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010213,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010212,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030213,LND110210,POP060210
31107,8482,8557,8701,-2.5,-1.7,8701,6.1,24.2,23.7,51.3,88.1,0.2,9.5,0.4,0.1,1.6,2.4,86.8,88.7,0.6,3.5,89.0,17.0,825,16.6,4844,72.6,6.4,74000,3776,2.22,25214,42230,14.0,264,1625,-2.2,674,885,0.0,0.0,0.0,0.0,0.0,10.5,0,61784,82386,9544,3311,31,1108.35,7.9
31109,301795,297285,285407,5.7,4.2,285407,6.8,23.1,11.7,49.9,88.8,3.8,0.9,3.9,0.1,2.5,6.4,83.4,78.3,7.0,10.9,93.8,36.1,19683,18.2,123270,60.1,29.6,148600,115237,2.40,27141,51574,15.2,8049,127883,-2.3,19681,24564,1.6,0.4,2.4,0.0,2.0,27.5,0,2729850,3662691,13351,472514,1534,837.55,340.8
31111,35815,36092,36288,-1.3,-0.5,36288,6.5,24.6,16.8,50.4,96.1,0.9,0.9,0.6,0.1,1.4,8.0,89.0,87.7,1.9,3.7,91.5,19.4,3307,14.2,16545,68.6,16.3,112800,15067,2.34,26188,48158,11.4,1049,11311,-0.4,2168,2811,0.0,0.0,0.0,0.0,1.3,28.9,0,245387,634917,17911,0,44,2564.07,14.2
31113,750,764,763,-1.7,0.1,763,5.4,23.5,18.0,51.6,97.2,0.4,1.3,0.3,0.0,0.8,2.0,95.3,89.6,0.0,1.1,93.1,19.9,54,27.3,392,72.5,0.0,101700,345,2.28,22799,44417,12.1,23,77,-4.9,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,570.66,1.3
31115,588,581,628,-6.4,-7.5,632,3.8,19.3,24.7,50.0,98.8,1.0,0.2,0.0,0.0,0.0,2.3,96.5,91.0,0.2,0.5,93.0,12.6,67,20.2,433,71.7,0.7,71100,240,2.42,21499,38125,25.8,8,0,0.0,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,568.29,1.1
31117,498,523,539,-7.6,-3.0,539,6.3,27.2,19.6,50.0,98.3,0.4,0.0,0.0,0.0,1.3,0.6,97.7,94.4,0.0,1.7,94.4,26.3,32,27.7,280,69.2,3.2,142300,169,2.24,25339,54926,13.6,6,0,0.0,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,858.98,0.6
31119,35174,35251,34876,0.9,1.1,34876,7.4,24.8,15.3,50.4,94.2,1.7,1.8,0.7,0.1,1.5,14.2,81.7,83.6,6.9,12.3,87.2,20.8,2387,14.2,15044,66.1,20.9,109000,13867,2.44,24593,46566,14.2,1320,18047,1.9,2598,3742,0.0,0.0,0.0,0.0,1.8,22.8,0,1880219,649732,19020,48522,61,572.74,60.9
31121,7766,7801,7855,-1.1,-0.7,7845,5.9,23.6,18.8,50.2,96.7,0.4,0.6,1.1,0.1,1.1,4.1,93.0,87.5,1.3,3.1,90.7,17.0,822,19.2,3721,72.7,6.5,85300,3316,2.29,24639,50859,12.6,244,1699,-7.8,645,855,0.0,0.0,0.0,0.0,0.0,33.3,0,208701,45568,6009,3850,29,484.88,16.2
31123,4862,4882,5042,-3.6,-3.2,5042,5.8,24.7,18.3,49.2,96.0,0.3,1.6,0.8,0.0,1.3,14.5,83.0,88.3,5.0,9.8,87.2,18.3,377,17.9,2416,66.5,3.9,76300,2037,2.37,22543,43886,13.8,118,695,-14.6,411,276,0.0,0.0,0.0,0.0,0.0,21.4,0,48076,46228,9242,3242,6,1423.84,3.5
31125,3570,3600,3735,-4.4,-3.6,3735,6.5,22.7,20.5,50.3,98.3,0.3,0.5,0.1,0.0,0.9,2.4,96.1,87.9,0.2,2.0,88.6,13.2,237,19.8,1823,75.4,6.1,67000,1534,2.33,23684,44286,12.6,104,570,15.4,254,485,0.0,0.0,0.0,0.0,0.0,0.0,0,35034,22402,6330,782,11,441.63,8.5
